chapter_file,chapter_group,publisher_reference_number,source_type,source_path_or_marker,publisher_file_name,publisher_title_draft,publisher_caption_stub,review_status,review_notes
chapter-1-1.qmd,Chapter 1,Table 1.1,markdown_table,chapter-1-1.qmd:L65,Table_1_01,Essential keyboard shortcuts in Positron and RStudio,Table 1.1. Essential keyboard shortcuts in Positron and RStudio.,,
chapter-4.qmd,Chapter 4,Table 4.1,markdown_table,chapter-4.qmd:L79,Table_4_01,Comparison of methods for accessing PISA data,Table 4.1. Comparison of methods for accessing PISA data.,,
chapter-4.qmd,Chapter 4,Table 4.2,markdown_table,chapter-4.qmd:L170,Table_4_02,Comparison of methods for accessing IPEDS data,Table 4.2. Comparison of methods for accessing IPEDS data.,,
chapter-5.qmd,Chapter 5,Table 5.1,markdown_table,chapter-5.qmd:L28,Table_5_01,Major cloud LLM providers and R access options,Table 5.1. Major cloud LLM providers and R access options.,,
chapter-5.qmd,Chapter 5,Table 5.2,markdown_table,chapter-5.qmd:L179,Table_5_02,Core LM Studio features for local LLM workflows,Table 5.2. Core LM Studio features for local LLM workflows.,,
chapter-5.qmd,Chapter 5,Table 5.3,markdown_table,chapter-5.qmd:L215,Table_5_03,Comparison of cloud and local LLM workflows,Table 5.3. Comparison of cloud and local LLM workflows.,,
chapter-5.qmd,Chapter 5,Table 5.4,markdown_table,chapter-5.qmd:L246,Table_5_04,Recommended LLM environment by research use case,Table 5.4. Recommended LLM environment by research use case.,,
chapter-7.qmd,Chapter 7,Table 7.1,markdown_table,chapter-7.qmd:L95,Table_7_01,LM Studio capabilities for local research workflows,Table 7.1. LM Studio capabilities for local research workflows.,,
chapter-7.qmd,Chapter 7,Table 7.2,markdown_table,chapter-7.qmd:L224,Table_7_02,Required output template for chunk-level thematic analysis prompt,Table 7.2. Required output template for chunk-level thematic analysis prompt.,,
chapter-7.qmd,Chapter 7,Table 7.3,markdown_table,chapter-7.qmd:L313,Table_7_03,Required output template for meta-synthesis prompt,Table 7.3. Required output template for meta-synthesis prompt.,,
chapter-7.qmd,Chapter 7,Table 7.4,markdown_table,chapter-7.qmd:L481,Table_7_04,Sample thematic analysis output from local model on AI policy corpus,Table 7.4. Sample thematic analysis output from local model on AI policy corpus.,,
chapter-7.qmd,Chapter 7,Table 7.5,markdown_table,chapter-7.qmd:L507,Table_7_05,Human validation judgments for LLM-generated themes,Table 7.5. Human validation judgments for LLM-generated themes.,,
chapter-7.qmd,Chapter 7,Table 7.6,markdown_table,chapter-7.qmd:L750,Table_7_06,Comparison of keyword-based and LLM-based thematic validation approaches,Table 7.6. Comparison of keyword-based and LLM-based thematic validation approaches.,,
chapter-7.qmd,Chapter 7,Table 7.7,markdown_table,chapter-7.qmd:L765,Table_7_07,Interpretive comparison of LLM and keyword validation results,Table 7.7. Interpretive comparison of LLM and keyword validation results.,,
chapter-7.qmd,Chapter 7,Table 7.8,markdown_table,chapter-7.qmd:L794,Table_7_08,Keyword strategy trade-offs for precision and recall in validation,Table 7.8. Keyword strategy trade-offs for precision and recall in validation.,,
chapter-7.qmd,Chapter 7,Table 7.9,markdown_table,chapter-7.qmd:L810,Table_7_09,Theme-level comparison of LLM-reported and keyword-verified frequencies,Table 7.9. Theme-level comparison of LLM-reported and keyword-verified frequencies.,,
chapter-7.qmd,Chapter 7,Table 7.10,markdown_table,chapter-7.qmd:L823,Table_7_10,Conceptual differences between literal keyword matching and semantic LLM analysis,Table 7.10. Conceptual differences between literal keyword matching and semantic LLM analysis.,,
chapter-7.qmd,Chapter 7,Table 7.11,markdown_table,chapter-7.qmd:L865,Table_7_11,Practical guide to balancing precision and recall in keyword definitions,Table 7.11. Practical guide to balancing precision and recall in keyword definitions.,,
